product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Бастурма,165,936,Мясо,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1996-04-03,1998-04-15,1.69,Backorder
2,Пицца с мясом,4178,781,Мясо,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1997-03-24,2017-01-04,0.77,In Stock
3,Чай зеленый,9876,818,Напитки,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1998-07-07,2023-01-06,0.03,Temporarily Unavailable
4,Банан,7068,577,Фрукты,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",1991-01-10,2011-03-05,1.62,Returned
5,Шелковица,6147,961,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,2010-02-01,2023-08-01,2.91,Shipping
6,Пакеты для Пасхи,2966,709,Товары для дома,Помогает сохранять бодрость и активность в течение дня.,2022-02-19,2024-10-03,2.62,Awaiting Payment
7,Кабачок,2909,462,Овощи,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2005-03-03,2018-03-01,0.49,Refunded
8,Пакеты для театра,1372,57,Товары для дома,Отличается гипоаллергенностью и безопасностью для большинства людей.,2018-03-01,2022-07-04,1.04,On Backorder
9,Перец болгарский,8432,235,Овощи,Используется в косметологии для ухода за кожей и волосами.,2003-03-19,2027-02-25,4.06,Cancelled
10,Бурятская,6895,141,Напитки,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1995-06-10,2011-11-02,4.6,Awaiting Payment
11,Мускатный орех молотый,1517,936,Бакалея,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2018-01-20,2023-06-03,2.47,Delivered
12,Каша из пшеницы спельты,2721,604,Бакалея,Может быть использован в качестве заменителя менее полезных продуктов.,2016-06-02,2023-05-01,0.73,Available for Pickup
13,Айран,7330,8,Напитки,Подходит для людей с чувствительным пищеварением.,2017-05-05,2018-04-01,3.37,Cancelled
14,Кабачок,3015,321,Овощи,Помогает улучшать качество сна и снижать уровень тревожности.,2001-01-03,2018-04-01,0.36,Delivered
